region,crop_type,fertilizer_type,fertilizer_amount
Central,Barley,Potassium,102
West,Cabbage,Organic,141
Central,Millet,Organic,133
West,Maize,Potassium,97
North,Cucumber,Organic,133
South,Potato,Organic,90
Central,Spinach,Phosphorus,108
Central,Peas,Potassium,99
West,Beetroot,Potassium,135
East,Maize,Nitrogen,123
Central,Onion,Phosphorus,88
Central,Sorghum,Nitrogen,110
Central,Millet,Organic,105
East,Sorghum,Phosphorus,129
North,Tomato,Nitrogen,124
North,Cabbage,Nitrogen,140
Central,Millet,Nitrogen,98
Central,Potato,Phosphorus,135
West,Spinach,Nitrogen,85
Central,Maize,Phosphorus,101
North,Millet,Phosphorus,127
West,Beetroot,Potassium,99
East,Onion,Phosphorus,136
North,Barley,Phosphorus,115
South,Millet,Phosphorus,148
East,Millet,Potassium,150
West,Rice,Potassium,90
East,Beetroot,Phosphorus,133
South,Peas,Organic,127
North,Peas,Organic,103
North,Beetroot,Nitrogen,72
South,Potato,Nitrogen,143
South,Cabbage,Phosphorus,150
West,Carrot,Organic,72
North,Cabbage,Nitrogen,111
East,Peas,Potassium,135
East,Barley,Potassium,93
East,Cabbage,Phosphorus,78
South,Maize,Organic,131
Central,Tomato,Potassium,124
East,Carrot,Potassium,92
North,Potato,Organic,110
North,Tomato,Nitrogen,121
Central,Peas,Organic,145
South,Onion,Phosphorus,117
Central,Millet,Organic,137
South,Millet,Organic,135
Central,Cabbage,Phosphorus,73
North,Spinach,Potassium,80
South,Maize,Nitrogen,147
East,Millet,Potassium,71
North,Cabbage,Phosphorus,113
West,Peas,Potassium,126
Central,Peas,Phosphorus,137
South,Carrot,Phosphorus,103
West,Peas,Phosphorus,121
West,Peas,Organic,102
Central,Peas,Phosphorus,146
Central,Spinach,Nitrogen,133
East,Carrot,Phosphorus,144
Central,Maize,Phosphorus,100
Central,Potato,Potassium,105
North,Cucumber,Phosphorus,147
North,Millet,Potassium,78
South,Spinach,Phosphorus,129
Central,Potato,Nitrogen,138
East,Rice,Phosphorus,114
West,Millet,Potassium,93
North,Cucumber,Organic,145
Central,Tomato,Phosphorus,97
East,Sorghum,Phosphorus,150
South,Spinach,Potassium,149
Central,Barley,Potassium,78
East,Peas,Potassium,71
Central,Cucumber,Organic,128
East,Onion,Potassium,78
South,Maize,Organic,79
Central,Peas,Phosphorus,144
South,Beetroot,Nitrogen,147
East,Cucumber,Phosphorus,71
Central,Carrot,Phosphorus,107
Central,Beetroot,Nitrogen,150
West,Millet,Potassium,137
North,Beetroot,Phosphorus,95
North,Cabbage,Potassium,109
West,Cabbage,Nitrogen,138
South,Onion,Potassium,98
South,Tomato,Nitrogen,119
South,Tomato,Nitrogen,101
East,Tomato,Organic,95
West,Barley,Nitrogen,102
East,Onion,Potassium,120
East,Millet,Nitrogen,86
West,Beetroot,Potassium,98
North,Millet,Nitrogen,140
South,Peas,Nitrogen,101
North,Barley,Nitrogen,125
North,Cucumber,Nitrogen,125
Central,Millet,Nitrogen,125
South,Cucumber,Organic,116
South,Potato,Potassium,114
North,Rice,Organic,76
North,Maize,Organic,107
East,Cabbage,Potassium,117
South,Cucumber,Phosphorus,94
Central,Cabbage,Organic,146
East,Onion,Potassium,129
South,Millet,Nitrogen,110
East,Barley,Organic,73
Central,Potato,Nitrogen,122
Central,Onion,Organic,89
South,Beetroot,Potassium,127
South,Millet,Nitrogen,89
East,Cucumber,Organic,99
East,Barley,Phosphorus,86
South,Peas,Organic,79
Central,Maize,Phosphorus,129
West,Barley,Organic,145
South,Cucumber,Potassium,144
North,Cucumber,Phosphorus,96
West,Rice,Nitrogen,123
North,Spinach,Potassium,133
North,Cucumber,Phosphorus,122
North,Spinach,Potassium,105
South,Peas,Nitrogen,150
South,Cucumber,Phosphorus,150
North,Tomato,Phosphorus,100
West,Beetroot,Potassium,142
Central,Tomato,Potassium,93
Central,Cabbage,Phosphorus,141
East,Beetroot,Organic,84
East,Cabbage,Potassium,94
East,Cabbage,Potassium,81
Central,Rice,Organic,103
North,Barley,Phosphorus,93
North,Spinach,Nitrogen,138
East,Carrot,Organic,117
East,Beetroot,Organic,130
Central,Peas,Nitrogen,92
Central,Cabbage,Nitrogen,97
East,Rice,Nitrogen,140
South,Barley,Potassium,95
Central,Tomato,Organic,140
Central,Carrot,Organic,124
Central,Beetroot,Nitrogen,132
North,Spinach,Organic,141
South,Sorghum,Nitrogen,138
West,Cabbage,Nitrogen,136
South,Peas,Organic,115
Central,Millet,Nitrogen,97
Central,Barley,Organic,118
